sleeve,symbol,side,entry_time,exit_time,entry,exit,stop,target,qty,gross,fees,funding,pnl,r,reason,bars_held,risk_frac
funding_momentum,ETHUSDT,1,2026-09-01 08:00:00+00:00,2026-09-01 13:00:00+00:00,2471.934288,2421.74564331609,2422.230089333957,inf,1.0028241303250138,-50.33038395733302,2.453750160605516,0.0,-52.784134117938535,-1.0589746150666264,stop,5,0.005000000000000001
funding_momentum,BTCUSDT,1,2026-09-01 08:00:00+00:00,2026-09-01 16:00:00+00:00,78616.02006,77305.23481457533,77320.6989543662,inf,0.0386004673146551,-50.59692302254677,3.0093166512230263,0.11483317407016225,-53.721072847839956,-1.0744214569567991,stop,8,0.005
funding_momentum,BTCUSDT,1,2026-09-01 16:00:00+00:00,2026-09-01 18:00:00+00:00,77892.97548,76500.83533459638,76516.13856230884,inf,0.03592834658161566,-50.017293634241696,2.7735571725016093,0.0,-52.79085080674331,-1.0671830715251827,stop,2,0.004999999999999999
funding_momentum,ETHUSDT,1,2026-09-01 16:00:00+00:00,2026-09-01 18:00:00+00:00,2448.38958,2394.2751893065156,2394.7541401345425,inf,0.46052156556615714,-24.920843921822136,1.1150757805365548,0.0,-26.03591970235869,-1.0540740081549695,stop,2,0.0025
funding_momentum,ETHUSDT,1,2026-09-02 00:00:00+00:00,2026-09-02 10:00:00+00:00,2417.93349,2359.8000275397535,2360.2720819561446,inf,0.42512104200431283,-24.713758136418548,1.0155575256977154,0.04866645845298606,-25.77798212056925,-1.0516012006400877,stop,10,0.0025
funding_momentum,ETHUSDT,1,2026-09-03 16:00:00+00:00,2026-09-04 12:00:00+00:00,2516.5032,2448.511562090068,2449.0013623625405,inf,0.3669367237422823,-24.9486288565421,0.9109231250666985,0.1511575424068821,-26.01070952401568,-1.0501357031136527,stop,20,0.0025
funding_momentum,BTCUSDT,1,2026-09-02 00:00:00+00:00,2026-09-06 00:00:00+00:00,77415.68003999999,79816.83344,75986.21661038684,inf,0.03432990246270654,82.43136201999654,2.6988884258672954,1.6416303958640401,78.0908431982652,1.5913089066088244,time,96,0.005
funding_momentum,ETHUSDT,1,2026-09-09 08:00:00+00:00,2026-09-09 19:00:00+00:00,2510.0018999999998,2462.282990038475,2462.7755451475045,inf,1.041893896407596,-49.71804103213631,2.590296639065401,0.0944195855817805,-52.402757256783495,-1.0649916894334828,stop,11,0.005
funding_momentum,BTCUSDT,1,2026-09-09 16:00:00+00:00,2026-09-10 12:00:00+00:00,78585.61398,77076.75797497375,77092.1764102558,inf,0.016434817542608695,-24.79777314067582,1.2791413406648413,0.15545473604824406,-26.232369217388904,-1.0687732043778193,stop,20,0.0025000000000000005
funding_momentum,ETHUSDT,1,2026-09-10 00:00:00+00:00,2026-09-10 12:00:00+00:00,2467.453392,2411.1142052553046,2411.5965245602165,inf,0.8754973630451626,-49.32480943108973,2.135586533417297,0.11885659897014139,-51.57925256347717,-1.0547356518432682,stop,12,0.005
funding_momentum,BTCUSDT,1,2026-09-14 08:00:00+00:00,2026-09-15 07:00:00+00:00,77869.5708,76874.47133049276,76889.84930035283,inf,0.04985969863454403,-49.61535966102583,3.857745653058777,0.3102664604916945,-53.7833717745763,-1.1010213427907418,stop,23,0.005
funding_momentum,ETHUSDT,1,2026-09-11 08:00:00+00:00,2026-09-15 08:00:00+00:00,2466.9933,2475.2748460000003,2423.1454455263865,inf,1.107323939975766,9.170354145810725,2.7363459179227223,0.6654878751666079,5.768520352721394,0.11880682563693172,time,96,0.005
funding_momentum,ETHUSDT,1,2026-09-15 08:00:00+00:00,2026-09-15 14:00:00+00:00,2473.264554,2414.9732695966563,2415.45636086883,inf,0.8357587757235395,-48.71745248829104,2.0426938294473205,0.0,-50.76014631773836,-1.0506365970880627,stop,6,0.005
funding_momentum,ETHUSDT,1,2026-09-17 16:00:00+00:00,2026-09-21 16:00:00+00:00,2469.9638939999995,2752.69935,2403.3965349839004,inf,0.3609870114787388,102.06382730051857,0.9426567982057075,0.8495082715678198,100.27166223074505,4.172778300135392,time,96,0.0025
funding_momentum,BTCUSDT,1,2026-09-18 16:00:00+00:00,2026-09-22 16:00:00+00:00,80704.83773999999,86360.7244,79011.92418136235,inf,0.01425401015507117,80.61906588757182,1.1906771096531168,1.0903723751571526,78.33801640276154,3.246390235494825,time,96,0.0025
funding_momentum,BTCUSDT,1,2026-09-22 16:00:00+00:00,2026-09-23 14:00:00+00:00,86384.67348,84527.66144529215,84544.57035936402,inf,0.013296494320195385,-24.691749972027377,1.1362674452927393,0.024569062012838545,-25.852586479332953,-1.0566342534338506,stop,22,0.0025
funding_momentum,ETHUSDT,1,2026-09-21 16:00:00+00:00,2026-09-23 14:00:00+00:00,2754.5407979999995,2667.991126162182,2668.5248311284076,inf,0.2843958239976769,-24.614365239044677,0.771072717362906,0.26341436634709503,-25.648852322754678,-1.048493268545522,stop,46,0.0025
funding_momentum,BTCUSDT,1,2026-09-23 16:00:00+00:00,2026-09-24 23:00:00+00:00,83977.89222000001,84353.126,82095.0192911812,inf,0.012931155480633883,4.852206350765904,1.0883572844081177,0.061357012122560846,3.7024920542352255,0.15206728432683783,end,31,0.0025
funding_momentum,ETHUSDT,1,2026-09-23 16:00:00+00:00,2026-09-24 23:00:00+00:00,2655.150924,2686.11267,2581.255235891599,inf,0.32948095812710265,10.20130573736797,0.879922323280266,0.1429703822091945,9.178413031878511,0.37697988652917047,end,31,0.0025
