,trend_pullback
2026-09-01 00:00:00+00:00,10000.0
2026-09-02 00:00:00+00:00,10000.0
2026-09-03 00:00:00+00:00,9993.199476732649
2026-09-04 00:00:00+00:00,9947.977412471702
2026-09-05 00:00:00+00:00,9947.977412471702
2026-09-06 00:00:00+00:00,9947.977412471702
2026-09-07 00:00:00+00:00,9947.977412471702
2026-09-08 00:00:00+00:00,9947.977412471702
2026-09-09 00:00:00+00:00,9894.811697113722
2026-09-10 00:00:00+00:00,9894.811697113722
2026-09-11 00:00:00+00:00,9871.554175277053
2026-09-12 00:00:00+00:00,9876.356409119857
2026-09-13 00:00:00+00:00,9843.551753607357
2026-09-14 00:00:00+00:00,9852.152189118598
2026-09-15 00:00:00+00:00,9747.208929545788
2026-09-16 00:00:00+00:00,9747.208929545788
2026-09-17 00:00:00+00:00,9732.435017342896
2026-09-18 00:00:00+00:00,9926.203397696016
2026-09-19 00:00:00+00:00,9947.46334573551
2026-09-20 00:00:00+00:00,9951.498995391015
2026-09-21 00:00:00+00:00,10179.978744277692
2026-09-22 00:00:00+00:00,10154.492178932403
2026-09-23 00:00:00+00:00,10017.969117717696
2026-09-24 00:00:00+00:00,10017.969117717696
